id,title,vote_average,popularity,release_date,release_year,type,genre_ids
202250,Dirty Linen,6.662,324.3452,2023-01-23,2023,tv,"[18, 9648]"
9537,My Family,8.8,356.4858,2002-04-19,2002,tv,"[16, 35]"
4454,Will & Grace,6.853,295.9568,1998-09-21,1998,tv,[35]
80715,Firing Line with Margaret Hoover,7.5,286.9706,2018-06-22,2018,tv,"[10767, 10768]"
937,Behind the Music,7.167,288.7992,1997-08-17,1997,tv,[99]
13335,New Tricks,7.4,314.8548,2004-01-01,2004,tv,"[18, 35]"
62705,Married at First Sight,7.4,383.4461,2015-05-18,2015,tv,[10764]
31179,The Lone Ranger,6.7,308.8749,1949-09-15,1949,tv,"[37, 10759]"
456,The Simpsons,8.0,339.2032,1989-12-17,1989,tv,"[10751, 16, 35]"
14544,Koffee with Karan,5.7,306.6598,2004-11-19,2004,tv,[10767]
2243,Touched by an Angel,7.2,237.0699,1994-09-21,1994,tv,"[10765, 18, 10751]"
9048,Classic Albums,7.7,287.476,1997-04-14,1997,tv,[99]
12415,Egoli: Place of Gold,6.8,314.5946,1992-04-06,1992,tv,[10766]
355,The Bachelor,5.3,312.5514,2002-03-25,2002,tv,[10764]
1948,Degrassi,7.6,284.4487,2001-10-14,2001,tv,"[18, 10766]"
42573,Slam Dunk,8.6,280.0373,1993-10-16,1993,tv,"[16, 35]"
45789,Sturm der Liebe,6.066,297.5119,2005-09-26,2005,tv,"[18, 10766]"
2777,Oggy and the Cockroaches,7.4,308.4746,1999-09-06,1999,tv,"[16, 35, 10762, 10751]"
14686,Alles was zählt,5.0,319.8154,2006-09-04,2006,tv,"[10766, 18]"
1685,Project Runway,6.2,312.9632,2004-12-01,2004,tv,[10764]
4230,PB&J Otter,6.9,307.213,1998-03-15,1998,tv,"[16, 10762]"
2122,King of the Hill,7.344,301.4711,1997-01-12,1997,tv,"[16, 35, 10751]"
5721,The Secret Life of the American Teenager,7.1,293.1528,2008-07-01,2008,tv,"[18, 35]"
60888,Young & Hungry,6.8,274.8952,2014-06-25,2014,tv,"[10751, 35]"
3554,The Parkers,8.2,216.6076,1999-08-30,1999,tv,[35]
64356,The Return of Superman,7.8,306.4632,2013-11-03,2013,tv,[10764]
