id,title,vote_average,popularity,release_date,release_year,type,genre_ids
1144430,Last Bullet,6.645,65.1866,2025-05-06,2025,movie,"[28, 80, 53, 18]"
840430,The Holdovers,7.681,46.1598,2023-10-27,2023,movie,"[35, 18]"
30484,Warrior Queen,3.4,174.2099,1987-01-26,1987,movie,"[28, 36, 12]"
896536,The Legend of Ochi,6.3,63.7652,2025-04-18,2025,movie,"[10751, 14, 12]"
762509,Mufasa: The Lion King,7.398,65.6825,2024-12-18,2024,movie,"[12, 10751, 16]"
1040159,My Massive Cock,5.8,63.0571,2022-10-24,2022,movie,[99]
1094473,Bambi: A Life in the Woods,6.0,62.3677,2024-10-16,2024,movie,"[12, 10751, 99]"
450465,Glass,6.662,45.1512,2019-01-16,2019,movie,"[53, 18, 878]"
353081,Mission: Impossible - Fallout,7.4,86.4734,2018-07-25,2018,movie,"[28, 12]"
1297028,Rosario,5.294,58.4764,2025-05-01,2025,movie,[27]
515001,Jojo Rabbit,8.006,58.7957,2019-10-18,2019,movie,"[35, 10752, 18]"
334541,Manchester by the Sea,7.546,43.2279,2016-11-17,2016,movie,[18]
209112,Batman v Superman: Dawn of Justice,5.981,47.6203,2016-03-23,2016,movie,"[28, 12, 14]"
1091,The Thing,8.07,46.2943,1982-06-25,1982,movie,"[27, 9648, 878]"
1098006,Fountain of Youth,6.433,61.348,2025-05-19,2025,movie,"[12, 14, 9648]"
1010581,My Fault,7.803,64.8274,2023-06-08,2023,movie,"[10749, 18]"
676685,Panda Bear in Africa,6.63,54.5978,2024-03-15,2024,movie,"[16, 12, 35, 10751]"
1001414,Fear Street: Prom Queen,5.398,58.2889,2025-05-23,2025,movie,"[27, 9648]"
668489,Havoc,6.503,56.2298,2025-04-25,2025,movie,"[28, 80, 53]"
